web_scraper_order,web_scraper_start_url,prix,region,titre_vehicule,kilometrage,car_link,car_link-href,boite_vitesse,annee
"1785857626-92","https://www.gaaraas.com/fr/users/dakar-auto?page=78","","","Il n'y a pas d'annonce","","","","",""
"1785857626-93","https://www.gaaraas.com/fr/users/dakar-auto?page=78","","","Souscrire à notre newsletter","","","","",""
"1785857626-94","https://www.gaaraas.com/fr/users/dakar-auto?page=78","","","","","","","",""
"1785857631-95","https://www.gaaraas.com/fr/users/dakar-auto?page=77","","","","","","","",""
"1785857631-96","https://www.gaaraas.com/fr/users/dakar-auto?page=77","","","Il n'y a pas d'annonce","","","","",""
"1785857631-97","https://www.gaaraas.com/fr/users/dakar-auto?page=77","","","Souscrire à notre newsletter","","","","",""
"1785857631-98","https://www.gaaraas.com/fr/users/dakar-auto?page=77","","","","","","","",""
"1785857635-99","https://www.gaaraas.com/fr/users/dakar-auto?page=76","","","","","","","",""
"1785857635-100","https://www.gaaraas.com/fr/users/dakar-auto?page=76","","","Il n'y a pas d'annonce","","","","",""
"1785857635-101","https://www.gaaraas.com/fr/users/dakar-auto?page=76","","","Souscrire à notre newsletter","","","","",""
"1785857635-102","https://www.gaaraas.com/fr/users/dakar-auto?page=76","","","","","","","",""
"1785857639-103","https://www.gaaraas.com/fr/users/dakar-auto?page=75","","","","","","","",""
"1785857639-104","https://www.gaaraas.com/fr/users/dakar-auto?page=75","","","Il n'y a pas d'annonce","","","","",""
"1785857639-105","https://www.gaaraas.com/fr/users/dakar-auto?page=75","","","Souscrire à notre newsletter","","","","",""
"1785857639-106","https://www.gaaraas.com/fr/users/dakar-auto?page=75","","","","","","","",""
"1785857644-107","https://www.gaaraas.com/fr/users/dakar-auto?page=74","","","","","","","",""
"1785857644-108","https://www.gaaraas.com/fr/users/dakar-auto?page=74","","","Il n'y a pas d'annonce","","","","",""
"1785857644-109","https://www.gaaraas.com/fr/users/dakar-auto?page=74","","","Souscrire à notre newsletter","","","","",""
"1785857644-110","https://www.gaaraas.com/fr/users/dakar-auto?page=74","","","","","","","",""
"1785857649-111","https://www.gaaraas.com/fr/users/dakar-auto?page=73","","","","","","","",""
"1785857649-112","https://www.gaaraas.com/fr/users/dakar-auto?page=73","","","Il n'y a pas d'annonce","","","","",""
"1785857649-113","https://www.gaaraas.com/fr/users/dakar-auto?page=73","","","Souscrire à notre newsletter","","","","",""
"1785857649-114","https://www.gaaraas.com/fr/users/dakar-auto?page=73","","","","","","","",""
"1785857653-115","https://www.gaaraas.com/fr/users/dakar-auto?page=72","","","","","","","",""
"1785857653-116","https://www.gaaraas.com/fr/users/dakar-auto?page=72","","","Il n'y a pas d'annonce","","","","",""
"1785857653-117","https://www.gaaraas.com/fr/users/dakar-auto?page=72","","","Souscrire à notre newsletter","","","","",""
"1785857653-118","https://www.gaaraas.com/fr/users/dakar-auto?page=72","","","","","","","",""
"1785857658-119","https://www.gaaraas.com/fr/users/dakar-auto?page=71","","","","","","","",""
"1785857658-120","https://www.gaaraas.com/fr/users/dakar-auto?page=71","","","Il n'y a pas d'annonce","","","","",""
"1785857658-121","https://www.gaaraas.com/fr/users/dakar-auto?page=71","","","Souscrire à notre newsletter","","","","",""
"1785857658-122","https://www.gaaraas.com/fr/users/dakar-auto?page=71","","","","","","","",""
"1785857662-123","https://www.gaaraas.com/fr/users/dakar-auto?page=70","","","","","","","",""
"1785857662-124","https://www.gaaraas.com/fr/users/dakar-auto?page=70","","","Il n'y a pas d'annonce","","","","",""
"1785857662-125","https://www.gaaraas.com/fr/users/dakar-auto?page=70","","","Souscrire à notre newsletter","","","","",""
"1785857662-126","https://www.gaaraas.com/fr/users/dakar-auto?page=70","","","","","","","",""
"1785857667-127","https://www.gaaraas.com/fr/users/dakar-auto?page=69","","","","","","","",""
"1785857667-128","https://www.gaaraas.com/fr/users/dakar-auto?page=69","","","Il n'y a pas d'annonce","","","","",""
"1785857667-129","https://www.gaaraas.com/fr/users/dakar-auto?page=69","","","Souscrire à notre newsletter","","","","",""
"1785857667-130","https://www.gaaraas.com/fr/users/dakar-auto?page=69","","","","","","","",""
"1785857671-131","https://www.gaaraas.com/fr/users/dakar-auto?page=68","","","","","","","",""
"1785857671-132","https://www.gaaraas.com/fr/users/dakar-auto?page=68","","","Il n'y a pas d'annonce","","","","",""
"1785857671-133","https://www.gaaraas.com/fr/users/dakar-auto?page=68","","","Souscrire à notre newsletter","","","","",""
"1785857671-134","https://www.gaaraas.com/fr/users/dakar-auto?page=68","","","","","","","",""
"1785857677-135","https://www.gaaraas.com/fr/users/dakar-auto?page=67","","","","","","","",""
